iter	Passed	Remaining
455	871	1039
456	872	1036
457	873	1033
458	874	1030
459	880	1033
460	882	1031
461	883	1028
462	884	1025
463	884	1022
464	885	1019
465	886	1016
466	887	1013
467	888	1010
468	889	1007
469	890	1004
470	897	1007
471	899	1005
472	900	1003
473	901	1000
474	902	997
475	903	994
476	904	991
477	905	988
478	910	990
479	912	988
480	913	985
481	914	982
482	915	979
483	916	976
484	917	973
485	918	971
486	919	968
487	920	966
488	927	969
489	928	966
490	930	964
491	931	962
492	933	959
493	934	957
494	936	954
495	937	952
496	946	958
497	948	955
498	949	953
499	950	950
500	951	948
501	952	945
502	957	945
503	960	945
504	961	942
505	962	939
506	963	936
507	964	934
508	965	931
509	966	928
510	967	926
511	968	923
512	975	926
513	976	923
514	977	921
515	979	918
516	980	915
517	981	913
518	982	910
519	983	907
520	984	905
521	990	906
522	992	905
523	994	902
524	995	900
525	996	897
526	997	894
527	998	892
528	999	889
529	1004	890
530	1005	888
531	1006	885
532	1008	883
533	1009	880
534	1010	877
535	1010	875
536	1012	872
537	1013	870
538	1014	867
539	1020	868
540	1021	866
541	1023	864
542	1024	862
543	1025	859
544	1026	857
545	1027	854
546	1028	852
547	1029	849
548	1038	853
549	1040	851
550	1041	848
551	1042	845
552	1043	843
553	1044	840
554	1045	838
555	1046	835
556	1050	835
557	1051	833
558	1052	830
559	1053	827
560	1054	825
561	1055	822
562	1056	820
563	1057	817
564	1058	815
565	1065	817
566	1066	814
567	1068	812
568	1069	809
569	1070	807
570	1071	804
571	1072	802
572	1073	800
573	1074	797
574	1078	796
575	1080	795
576	1084	794
577	1085	792
578	1094	795
579	1095	793
580	1096	790
581	1098	788
582	1099	786
583	1101	784
584	1109	787
585	1111	784
586	1112	782
587	1114	780
588	1115	778
589	1117	776
590	1127	780
591	1128	777
592	1130	775
593	1131	773
594	1133	771
595	1140	773
596	1142	771
597	1144	769
598	1145	766
599	1146	764
600	1148	762
601	1155	763
602	1156	761
603	1158	759
604	1159	756
605	1160	754
606	1161	751
607	1162	749
608	1163	747
609	1164	744
610	1171	745
611	1174	744
612	1175	742
613	1177	740
614	1179	738
615	1180	735
616	1186	736
617	1187	733
618	1188	731
619	1189	728
620	1190	726
621	1192	724
622	1194	722
623	1201	723
624	1202	721
625	1204	719
626	1205	717
627	1207	715
628	1209	713
629	1210	711
630	1215	710
631	1219	709
632	1221	708
633	1223	706
634	1225	704
635	1226	702
636	1233	702
637	1234	700
638	1235	697
639	1236	695
640	1238	693
641	1240	691
642	1241	689
643	1242	687
644	1249	687
645	1250	685
646	1251	682
647	1252	680
648	1253	678
649	1255	675
650	1256	673
651	1257	670
652	1258	668
653	1263	668
654	1266	667
655	1270	666
656	1271	663
657	1272	661
658	1277	661
659	1278	658
660	1279	656
661	1281	654
662	1282	651
663	1283	649
664	1284	647
665	1285	644
666	1286	642
667	1287	639
668	1290	638
669	1292	636
670	1293	634
671	1294	632
672	1296	629
673	1297	627
674	1298	625
675	1299	622
676	1300	620
677	1301	618
678	1306	617
679	1310	616
680	1311	614
681	1313	612
682	1314	610
683	1315	607
684	1316	605
685	1321	605
686	1323	602
687	1324	600
688	1326	598
689	1327	596
690	1328	593
691	1329	591
692	1330	589
693	1331	587
694	1332	584
695	1337	584
696	1338	582
697	1340	579
698	1341	577
699	1342	575
700	1343	573
701	1344	570
702	1345	568
703	1346	566
704	1347	563
705	1353	563
706	1357	562
707	1358	560
708	1359	557
709	1360	555
710	1361	553
711	1362	551
712	1363	548
713	1369	548
714	1370	546
715	1371	544
716	1372	541
717	1373	539
718	1374	537
719	1375	535
720	1376	532
721	1377	530
722	1378	528
723	1383	527
724	1384	525
725	1385	523
726	1387	520
727	1388	518
728	1389	516
729	1390	514
730	1391	512
731	1392	509
732	1393	507
733	1394	505
734	1403	505
735	1404	503
736	1405	501
737	1406	499
738	1407	497
739	1408	494
740	1409	492
741	1415	492
742	1416	490
743	1418	487
744	1419	485
745	1420	483
746	1421	481
747	1422	479
748	1423	477
749	1425	475
750	1430	474
751	1432	472
752	1433	470
753	1434	467
754	1435	465
755	1436	463
756	1437	461
757	1438	459
758	1439	457
759	1440	454
760	1446	454
761	1449	452
762	1451	450
763	1452	448
764	1453	446
765	1454	444
766	1456	442
767	1461	441
768	1462	439
769	1463	437
770	1465	435
771	1466	433
772	1467	430
773	1468	428
774	1469	426
775	1470	424
776	1471	422
777	1475	421
778	1477	419
779	1478	417
780	1480	415
781	1481	412
782	1482	410
783	1483	408
784	1485	406
785	1486	404
786	1492	403
787	1495	402
788	1496	400
789	1498	398
790	1499	396
791	1500	394
792	1501	391
793	1507	391
794	1508	388
795	1509	386
796	1510	384
797	1511	382
798	1514	380
799	1515	378
800	1516	376
801	1517	374
802	1518	372
803	1519	370
804	1521	368
805	1522	366
806	1523	364
807	1525	362
808	1534	362
809	1537	360
810	1543	359
811	1549	358
812	1551	356
813	1552	354
814	1555	353
815	1556	351
816	1561	349
817	1562	347
818	1563	345
819	1564	343
820	1565	341
821	1566	339
822	1567	337
823	1568	335
824	1569	332
825	1570	330
826	1571	328
827	1576	327
828	1578	325
829	1579	323
830	1581	321
831	1582	319
832	1583	317
833	1584	315
834	1585	313
835	1586	311
836	1587	309
837	1593	307
838	1598	306
839	1599	304
840	1600	302
841	1601	300
842	1602	298
843	1603	296
844	1607	294
845	1609	292
846	1610	290
847	1611	288
848	1612	286
849	1613	284
850	1614	282
851	1615	280
852	1616	278
853	1617	276
854	1618	274
855	1619	272
856	1625	271
857	1626	269
858	1628	267
859	1629	265
860	1630	263
861	1630	261
862	1632	259
863	1633	257
864	1634	255
865	1638	253
866	1640	251
867	1641	249
868	1642	247
869	1643	245
870	1644	243
871	1645	241
872	1646	239
873	1647	237
874	1648	235
875	1649	233
876	1653	231
877	1654	229
878	1656	227
879	1657	226
880	1658	224
881	1659	222
882	1660	220
883	1661	218
884	1662	216
885	1663	214
886	1664	212
887	1670	210
888	1671	208
889	1673	206
890	1674	204
891	1675	202
892	1676	200
893	1677	198
894	1678	196
895	1679	194
896	1680	192
897	1686	191
898	1687	189
899	1688	187
900	1689	185
901	1690	183
902	1691	181
903	1692	179
904	1693	177
905	1694	175
906	1696	173
907	1700	172
908	1702	170
909	1703	168
910	1704	166
911	1705	164
912	1707	162
913	1708	160
914	1709	158
915	1710	156
916	1711	154
917	1715	153
918	1716	151
919	1717	149
920	1718	147
921	1719	145
922	1720	143
923	1721	141
924	1722	139
925	1723	137
926	1724	135
927	1725	133
928	1731	132
929	1732	130
930	1734	128
931	1735	126
932	1735	124
933	1736	122
934	1737	120
935	1739	118
936	1740	117
937	1743	115
938	1745	113
939	1747	111
940	1748	109
941	1749	107
942	1750	105
943	1750	103
944	1751	101
945	1753	100
946	1754	98
947	1755	96
948	1759	94
949	1761	92
950	1762	90
951	1763	88
952	1764	87
953	1765	85
954	1766	83
955	1767	81
956	1768	79
957	1769	77
958	1770	75
959	1775	73
960	1776	72
961	1777	70
962	1778	68
963	1779	66
964	1780	64
965	1780	62
966	1782	60
967	1783	58
968	1784	57
969	1785	55
970	1786	53
971	1789	51
972	1790	49
973	1791	47
974	1792	45
975	1793	44
976	1794	42
977	1795	40
978	1797	38
979	1798	36
980	1799	34
981	1800	32
982	1801	31
983	1806	29
984	1808	27
985	1809	25
986	1810	23
987	1812	22
988	1813	20
989	1815	18
990	1816	16
991	1820	14
992	1823	12
993	1824	11
994	1826	9
995	1827	7
996	1828	5
997	1829	3
998	1831	1
999	1832	0
